GIORNO_RIFERIMENTO;C1_A1;C1_B1;C1_C1;C1_D1;C1_E1;C1_F1;C1_A2;C1_B2;C1_C2;C1_D2;C1_E2;C1_F2;C1_A3;C1_B3;C1_C3;C1_D3;C1_E3;C1_F3;C2;C4;T1_1;T1_2;T1_3
01/10/2019;0.000000009999999755800010000000;0.000000009999999755800010000000;0.000000009999999772800000000000;0.000000009959999802688420000000;0.000000009999999817600000000000;0.145093662127727000000000000000;0.000000009999999755800010000000;0.000000009999999755800010000000;0.000000009999999772800000000000;0.000000009959999802688420000000;0.000000009999999817600000000000;0.177016239646168000000000000000;0.000000009999999755800010000000;0.000000009999999755800010000000;0.000000009999999772800000000000;0.000000009959999802688420000000;0.000000009999999817600000000000;0.213899939490962000000000000000;0.227345411973673000000000000000;0.000000009484873297408620000000;0.243765211678312000000000000000;0.294081709264868000000000000000;0.352489662257429000000000000000
02/10/2019;0.000000009999999755800010000000;0.000000009999999755800010000000;0.000000009999999772800000000000;0.000000009959999802688420000000;0.000000009999999817600000000000;0.145093662127727000000000000000;0.000000009999999755800010000000;0.000000009999999755800010000000;0.000000009999999772800000000000;0.000000009959999802688420000000;0.000000009999999817600000000000;0.177016239646168000000000000000;0.000000009999999755800010000000;0.000000009999999755800010000000;0.000000009999999772800000000000;0.000000009959999802688420000000;0.000000009999999817600000000000;0.213899939490962000000000000000;0.227345411973673000000000000000;0.000000009484873297408620000000;0.243765211678312000000000000000;0.294081709264868000000000000000;0.352489662257429000000000000000
03/10/2019;0.000000009999999755800010000000;0.000000009999999755800010000000;0.000000009999999772800000000000;0.000000009959999802688420000000;0.000000009999999817600000000000;0.145093662127727000000000000000;0.000000009999999755800010000000;0.000000009999999755800010000000;0.000000009999999772800000000000;0.000000009959999802688420000000;0.000000009999999817600000000000;0.177016239646168000000000000000;0.000000009999999755800010000000;0.000000009999999755800010000000;0.000000009999999772800000000000;0.000000009959999802688420000000;0.000000009999999817600000000000;0.213899939490962000000000000000;0.227345411973673000000000000000;0.000000009484873297408620000000;0.243765211678312000000000000000;0.294081709264868000000000000000;0.352489662257429000000000000000
04/10/2019;0.000000009999999755800010000000;0.000000009999999755800010000000;0.000000009999999772800000000000;0.000000009959999802688420000000;0.000000009999999817600000000000;0.145093662127727000000000000000;0.000000009999999755800010000000;0.000000009999999755800010000000;0.000000009999999772800000000000;0.000000009959999802688420000000;0.000000009999999817600000000000;0.177016239646168000000000000000;0.000000009999999755800010000000;0.000000009999999755800010000000;0.000000009999999772800000000000;0.000000009959999802688420000000;0.000000009999999817600000000000;0.213899939490962000000000000000;0.227345411973673000000000000000;0.000000009484873297408620000000;0.243765211678312000000000000000;0.294081709264868000000000000000;0.352489662257429000000000000000
05/10/2019;0.000000009999999755800010000000;0.000000009999999755800010000000;0.000000009999999772800000000000;0.000000009959999802688420000000;0.000000009999999817600000000000;0.145093662127727000000000000000;0.000000009999999755800010000000;0.000000009999999755800010000000;0.000000009999999772800000000000;0.000000009959999802688420000000;0.000000009999999817600000000000;0.177016239646168000000000000000;0.000000009999999755800010000000;0.000000009999999755800010000000;0.000000009999999772800000000000;0.000000009959999802688420000000;0.000000009999999817600000000000;0.000000009998535497462950000000;0.227345411973673000000000000000;0.000000009484873297408620000000;0.243765211678312000000000000000;0.294081709264868000000000000000;0.000000010007493055814100000000
06/10/2019;0.000000009999999755800010000000;0.000000009999999755800010000000;0.000000009999999772800000000000;0.000000009959999802688420000000;0.000000009999999817600000000000;0.145093662127727000000000000000;0.000000009999999755800010000000;0.000000009999999755800010000000;0.000000009999999772800000000000;0.000000009959999802688420000000;0.000000009999999817600000000000;0.000000009998535497462950000000;0.000000009999999755800010000000;0.000000009999999755800010000000;0.000000009999999772800000000000;0.000000009959999802688420000000;0.000000009999999817600000000000;0.000000009998535497462950000000;0.227345411973673000000000000000;0.000000009484873297408620000000;0.243765211678312000000000000000;0.000000010007493055814100000000;0.000000010007493055814100000000
07/10/2019;0.000000009999999755800010000000;0.000000009999999755800010000000;0.000000009999999772800000000000;0.000000009959999802688420000000;0.000000009999999817600000000000;0.145093662127727000000000000000;0.000000009999999755800010000000;0.000000009999999755800010000000;0.000000009999999772800000000000;0.000000009959999802688420000000;0.000000009999999817600000000000;0.177016239646168000000000000000;0.000000009999999755800010000000;0.000000009999999755800010000000;0.000000009999999772800000000000;0.000000009959999802688420000000;0.000000009999999817600000000000;0.213899939490962000000000000000;0.227345411973673000000000000000;0.000000009484873297408620000000;0.243765211678312000000000000000;0.294081709264868000000000000000;0.352489662257429000000000000000
08/10/2019;0.000000009999999755800010000000;0.000000009999999755800010000000;0.000000009999999772800000000000;0.000000009959999802688420000000;0.000000009999999817600000000000;0.152308280314552000000000000000;0.000000009999999755800010000000;0.000000009999999755800010000000;0.000000009999999772800000000000;0.000000009959999802688420000000;0.000000009999999817600000000000;0.185818171882122000000000000000;0.000000009999999755800010000000;0.000000009999999755800010000000;0.000000009999999772800000000000;0.000000009959999802688420000000;0.000000009999999817600000000000;0.224535871970590000000000000000;0.227345411973673000000000000000;0.000000009484873297408620000000;0.243765211678312000000000000000;0.294081709264868000000000000000;0.352489662257429000000000000000
09/10/2019;0.000000009999999755800010000000;0.000000009999999755800010000000;0.000000009999999772800000000000;0.000000009959999802688420000000;0.000000009999999817600000000000;0.152308280314552000000000000000;0.000000009999999755800010000000;0.000000009999999755800010000000;0.000000009999999772800000000000;0.000000009959999802688420000000;0.000000009999999817600000000000;0.185818171882122000000000000000;0.000000009999999755800010000000;0.000000009999999755800010000000;0.000000009999999772800000000000;0.000000009959999802688420000000;0.000000009999999817600000000000;0.224535871970590000000000000000;0.227345411973673000000000000000;0.000000009484873297408620000000;0.243765211678312000000000000000;0.294081709264868000000000000000;0.352489662257429000000000000000
10/10/2019;0.000000009999999755800010000000;0.000000009999999755800010000000;0.000000009999999772800000000000;0.000000009959999802688420000000;0.000000009999999817600000000000;0.152308280314552000000000000000;0.000000009999999755800010000000;0.000000009999999755800010000000;0.000000009999999772800000000000;0.000000009959999802688420000000;0.000000009999999817600000000000;0.185818171882122000000000000000;0.000000009999999755800010000000;0.000000009999999755800010000000;0.000000009999999772800000000000;0.000000009959999802688420000000;0.000000009999999817600000000000;0.224535871970590000000000000000;0.227345411973673000000000000000;0.000000009484873297408620000000;0.243765211678312000000000000000;0.294081709264868000000000000000;0.352489662257429000000000000000
11/10/2019;0.000000009999999755800010000000;0.000000009999999755800010000000;0.000000009999999772800000000000;0.000000009959999802688420000000;0.000000009999999817600000000000;0.152308280314552000000000000000;0.000000009999999755800010000000;0.000000009999999755800010000000;0.000000009999999772800000000000;0.000000009959999802688420000000;0.000000009999999817600000000000;0.185818171882122000000000000000;0.000000009999999755800010000000;0.000000009999999755800010000000;0.000000009999999772800000000000;0.000000009959999802688420000000;0.000000009999999817600000000000;0.224535871970590000000000000000;0.227345411973673000000000000000;0.000000009484873297408620000000;0.243765211678312000000000000000;0.294081709264868000000000000000;0.352489662257429000000000000000
