gdm;alpha
G1,6;35
G2,5;35
G4;35
G6;35
G10;70
G16;70
G25;70
G40;140
G65;140
G100;140
G160;140
G250;140
G400;140
G650;140
G1000;140
G1600;140
G2500;140
G4000;140
G6500;140
